,name,light_years_from_earth,planet_mass,stellar_magnitude,discovery_date,planet_type,planet_radius,orbital_radius,orbital_period,eccentricity
3900,NGTS-9 b,2022.0,2.9 Jupiters,12.8,2019,Gas Giant,1.07 x Jupiter,0.058 AU,4.4 days,0.06
3901,NN Serpentis c,1631.0,7.33 Jupiters,16.59,2010,Gas Giant,1.13 x Jupiter,5.35 AU,15.3 years,0.08
3902,NN Serpentis d,1631.0,2.3 Jupiters,16.59,2010,Gas Giant,1.19 x Jupiter,3.43 AU,7.9 years,0.19
3903,NSVS 14256825 b,2735.0,14.15 Jupiters,13.245,2019,Gas Giant,1.1 x Jupiter,3.12 AU,8.8 years,0.12
3904,Nu Ophiuchi b,151.0,22.206 Jupiters,3.34,2012,Gas Giant,1.07 x Jupiter,1.79 AU,1.5 years,0.12
3905,Nu Ophiuchi c,151.0,24.662 Jupiters,3.34,2012,Gas Giant,1.07 x Jupiter,5.931 AU,8.7 years,0.18
3906,NY Virginis b,1801.0,2.3 Jupiters,13.394,2011,Gas Giant,1.19 x Jupiter,3.3 AU,8.7 years,0.15
3907,NY Virginis c,1801.0,5.54 Jupiters,13.394,2019,Gas Giant,1.14 x Jupiter,Unknown,24.1 years,0.15
3908,OGLE-2003-BLG-235L b,18920.0,2.6 Jupiters,,2004,Gas Giant,1.18 x Jupiter,4.3 AU,11.2 years,0.0
3909,OGLE-2005-BLG-071L b,10438.0,3.8 Jupiters,,2005,Gas Giant,1.16 x Jupiter,3.6 AU,10.1 years,0.0
3910,OGLE-2005-BLG-169L b,13374.0,14.1 Earths,,2006,Neptune-like,0.343 x Jupiter,3.5 AU,7.9 years,0.0
3911,OGLE-2005-BLG-390L b,21529.0,5.5 Earths,,2005,Neptune-like,2.21 x Earth,2.6 AU,9 years,0.0
3912,OGLE-2006-BLG-109L b,4926.0,0.73 Jupiters,,2008,Gas Giant,1.25 x Jupiter,2.3 AU,4.9 years,0.0
3913,OGLE-2006-BLG-109L c,4926.0,0.27 Jupiters,,2008,Gas Giant,0.994 x Jupiter,4.5 AU,13.5 years,0.15
3914,OGLE-2007-BLG-349L AB c,9003.0,0.25171 Jupiters,,2016,Gas Giant,0.952 x Jupiter,2.59 AU,7 years,0.0
3915,OGLE-2007-BLG-368L b,19246.0,20 Earths,17.71,2009,Neptune-like,0.421 x Jupiter,3.3 AU,7.5 years,0.0
3916,OGLE-2008-BLG-092L b,26422.0,0.18 Jupiters,,2014,Gas Giant,0.777 x Jupiter,18.0 AU,90.7 years,0.0
3917,OGLE-2008-BLG-355L b,22182.0,4.6 Jupiters,,2014,Gas Giant,1.15 x Jupiter,1.7 AU,3.6 years,0.0
3918,OGLE-2011-BLG-0173L b,19898.0,0.19 Jupiters,,2018,Gas Giant,0.807 x Jupiter,8.0 AU,35.4 years,0.0
3919,OGLE-2011-BLG-0251L b,8383.0,0.53 Jupiters,,2012,Gas Giant,1.27 x Jupiter,2.72 AU,8.8 years,0.0
3920,OGLE-2011-BLG-0265L b,14288.0,0.88 Jupiters,,2015,Gas Giant,1.24 x Jupiter,1.89 AU,5.7 years,0.0
3921,OGLE-2012-BLG-0026L b,13110.0,0.145 Jupiters,,2012,Gas Giant,0.688 x Jupiter,4.0 AU,7.8 years,0.0
3922,OGLE-2012-BLG-0026L c,13110.0,0.86 Jupiters,,2012,Gas Giant,1.24 x Jupiter,4.8 AU,10.2 years,0.0
3923,OGLE-2012-BLG-0358L b,5741.0,1.85 Jupiters,,2013,Gas Giant,1.2 x Jupiter,0.87 AU,5.7 years,0.0
3924,OGLE-2012-BLG-0406L b,16212.0,2.73 Jupiters,,2013,Gas Giant,1.18 x Jupiter,3.45 AU,9.7 years,0.0
3925,OGLE-2012-BLG-0563L b,4241.0,0.39 Jupiters,,2015,Gas Giant,1.23 x Jupiter,0.9 AU,1.5 years,0.0
3926,OGLE-2012-BLG-0724L b,21855.0,0.47 Jupiters,,2016,Gas Giant,1.27 x Jupiter,1.6 AU,3.8 years,0.0
3927,OGLE-2012-BLG-0838L b,20616.0,0.167 Jupiters,,2020,Gas Giant,0.748 x Jupiter,4.43 AU,14.8 years,0.0
3928,OGLE-2012-BLG-0950L b,9786.0,35 Earths,,2016,Neptune-like,0.585 x Jupiter,2.7 AU,5.9 years,0.0
